anime_id,title,title_english,episodes,rating,score,scored_by,rank,popularity,members,genre,duration_min,aired_from_year
3228,Zoku Sayonara Zetsubou Sensei,,13,R - 17+ (violence & profanity),7.99,42068,575,974,87252,"Comedy, Parody, School",25,2008
3229,Kimi ga Aruji de Shitsuji ga Ore de,,13,R+ - Mild Nudity,7.29,39774,2460,1039,80333,"Comedy, Ecchi, Harem, Parody, Romance",25,2008
3230,Druaga no Tou: The Aegis of Uruk,Tower of Druaga: The Aegis of Uruk,12,PG-13 - Teens 13 or older,7.29,38410,2456,997,84603,"Adventure, Comedy, Fantasy",25,2008
3231,Gunslinger Girl: Il Teatrino,Gunslinger Girl: Il Teatrino,13,R - 17+ (violence & profanity),7.25,19820,2614,1655,44615,"Action, Drama, Military, Sci-Fi",25,2008
3245,Kindaichi Shounen no Jikenbo Specials,Kindaichi Case Files Special,2,PG-13 - Teens 13 or older,7.36,549,2189,7431,1512,"Mystery, Shounen",48,2007
3248,Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,Ghost Slayers Ayashi: Inferno,5,PG-13 - Teens 13 or older,6.94,770,3796,6695,2161,"Action, Supernatural, Historical, Drama",24,2007
3251,Hatara Kids Mai Ham Gumi,Master Hamsters,50,PG - Children,5.61,33,10360,10640,270,"Action, Kids",25,2007
3258,Lily C.A.T.,Lily C.A.T.,1,PG-13 - Teens 13 or older,6.06,1354,7203,5991,2961,"Space, Horror, Sci-Fi",67,1987
3266,Ai Yori Aoshi: Enishi - Miyuki,,1,PG-13 - Teens 13 or older,7.02,7645,3484,3191,14026,"Comedy, Drama, Romance",15,2004
3268,Mai-Otome 0: S.ifr,My-Otome 0: S.ifr,3,R+ - Mild Nudity,7.47,6225,1732,3413,11962,Sci-Fi,28,2008
3270,IGPX: Immortal Grand Prix (2005),IGPX: Immortal Grand Prix,13,PG-13 - Teens 13 or older,7.19,6139,2847,3250,13461,"Drama, Mecha, Sci-Fi, Shounen, Sports",23,2005
3271,Bakutou Sengen Daigunder,Daigunder,39,PG - Children,6.78,774,4389,7430,1511,"Sci-Fi, Adventure, Mecha",21,2002
3272,Kinnikuman,,137,PG-13 - Teens 13 or older,7.34,1546,2278,4798,5242,"Adventure, Comedy, Sports, Shounen",24,1983
3276,Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,,1,PG-13 - Teens 13 or older,6.3,77,6397,9924,401,"Action, Comedy, Sports, Shounen",39,1985
3279,Kinnikuman: Seigi Choujin vs. Senshi Choujin,,1,PG-13 - Teens 13 or older,6.33,68,6264,10044,375,"Action, Comedy, Sports, Shounen",50,1986
3280,Kinnikuman: Kessen! Shichinin no Seigi Choujin vs. Uchuu Nobushi,,1,PG-13 - Teens 13 or older,6.54,144,5455,9425,526,"Action, Comedy, Sports, Shounen",72,1984
3281,Kinnikuman: Kinnikusei Oui Soudatsu-hen,,46,PG-13 - Teens 13 or older,6.99,317,3604,7976,1166,"Action, Comedy, Sports, Shounen",24,1991
3288,Gundam Evolve,Gundam Evolve,15,PG-13 - Teens 13 or older,6.82,2803,4234,4224,7233,"Action, Military, Space, Mecha",7,2018
3290,Vampiyan Kids,Vampiyan Kids,23,G - All Ages,6.3,72,6414,9333,554,"Fantasy, Comedy, Kids",23,2001
3292,Potemayo Specials,,6,PG-13 - Teens 13 or older,7.41,1735,1989,5811,3194,"Comedy, School, Seinen",9,2007
3297,Aria The Origination,Aria The Origination,13,G - All Ages,8.59,18041,70,1158,71049,"Fantasy, Sci-Fi, Shounen, Slice of Life",24,2008
3298,Hatenkou Yuugi,Hatenkou Yugi,10,PG-13 - Teens 13 or older,7.25,12838,2615,2153,29128,"Adventure, Comedy, Drama, Romance, Fantasy, Josei",24,2008
3299,H2O: Footprints in the Sand,H2O: Footprints in the Sand,12,PG-13 - Teens 13 or older,7.19,37732,2845,1119,74002,"Harem, Romance, School",24,2008
3305,Muteki Koujin Daitarn 3,,40,PG - Children,7.18,562,2894,7174,1724,"Mecha, Sci-Fi",25,1978
3306,Aoki Honoo,,1,R+ - Mild Nudity,5.16,812,8874,7044,1840,"Romance, Drama, Seinen",47,1989
3312,Dr. Slump,,74,PG-13 - Teens 13 or older,7.07,4308,3296,3560,10807,"Slice of Life, Comedy, Sci-Fi, Shounen",25,1997
3313,Montana Jones,,52,G - All Ages,7.03,420,3468,8234,1022,"Adventure, Comedy",23,1994
3317,Uchuusen Sagittarius,,77,PG - Children,6.92,141,3860,9277,572,"Sci-Fi, Adventure",24,1986
3318,Kimi ga Nozomu Eien: Next Season,Rumbling Hearts OVA,4,PG-13 - Teens 13 or older,7.02,12028,3500,2475,23016,"Drama, Romance",29,2007
3320,Harbor Light Monogatari: Fashion Lala yori,,1,PG-13 - Teens 13 or older,5.4,394,8543,8276,997,Shoujo,48,1988
3322,Wagaya no Oinari-sama.,Our Home&#039;s Fox Deity,24,PG-13 - Teens 13 or older,7.28,9404,2511,2323,25547,"Adventure, Fantasy, Shounen, Supernatural",24,2008
3323,Kite Liberator,,1,R+ - Mild Nudity,6.45,9504,5802,2779,18384,"Action, Sci-Fi, Drama",58,2008
3325,Yuusha Exkaiser,The Brave Fighter Exkizer,48,G - All Ages,6.57,187,5356,8332,973,"Action, Mecha, Sci-Fi, Shounen",24,1990
3326,Inaka Isha,Franz Kafka&#039;s A Country Doctor,1,PG-13 - Teens 13 or older,6.8,5600,4318,3350,12577,"Dementia, Drama, Historical, Psychological",21,2007
3327,Giant Gorg,Giant Gorg,26,PG-13 - Teens 13 or older,7.74,559,1014,6451,2435,"Action, Adventure, Mecha, Sci-Fi",25,1984
3329,Izumo (2003),,5,Rx - Hentai,6.22,440,,6912,1951,"Adventure, Fantasy, Comedy, Hentai",30,2003
3332,Stop!! Hibari-kun!,,35,R+ - Mild Nudity,7.18,221,2908,6537,2326,"Comedy, Shounen",24,1983
3335,Haikara-san ga Tooru,Smart-san,42,PG-13 - Teens 13 or older,7.37,318,2149,6820,2036,"Slice of Life, Romance, Historical, Drama, Shoujo",24,1978
3342,Mnemosyne: Mnemosyne no Musume-tachi,Rin: Daughters of Mnemosyne,6,R+ - Mild Nudity,7.44,51279,1856,709,120731,"Action, Sci-Fi, Horror, Supernatural, Shoujo Ai",45,2008
3345,Mikan Enikki,,30,G - All Ages,7.29,436,2466,7499,1467,"Slice of Life, Comedy, Romance, Shoujo",23,1992
3349,Kiddy GiRL-AND,Kiddy Girl-AND,24,PG-13 - Teens 13 or older,6.94,4769,3779,3114,14598,"Action, Comedy, Sci-Fi, Super Power",25,2009
3352,Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,,1,PG-13 - Teens 13 or older,7.45,13744,1833,2131,29567,"Action, Adventure, Comedy, Mecha, Sci-Fi",24,2008
3354,Zombie-Loan Specials,Zombie-Loan,2,PG-13 - Teens 13 or older,7.15,13036,3025,2426,23897,"Action, Horror, Supernatural, Shounen",23,2008
3355,Fortune Dogs,,39,None,6.56,98,5367,9351,549,Adventure,25,2002
3358,Kure-nai,Kurenai,12,PG-13 - Teens 13 or older,7.46,29923,1778,1192,68437,"Comedy, Drama, Martial Arts",25,2008
3359,Amatsuki,Amatsuki,13,PG-13 - Teens 13 or older,7,21364,3554,1611,46431,"Action, Historical, Demons, Supernatural, Fantasy, Josei",23,2008
3361,UFO Senshi Dai Apolon,,26,PG-13 - Teens 13 or older,6.29,135,6456,9652,468,"Action, Sci-Fi, Mecha",24,1976
3363,RD Sennou Chousashitsu,,26,R - 17+ (violence & profanity),7.19,4338,2871,2719,19293,"Action, Sci-Fi",22,2008
3366,Persona: Trinity Soul,Persona: Trinity Soul,26,PG-13 - Teens 13 or older,6.7,18311,4773,1397,57361,"Action, Sci-Fi, Super Power",23,2008
3369,Shoubushi Densetsu Tetsuya,,20,R - 17+ (violence & profanity),7.6,1868,1360,4954,4795,"Game, Historical, Shounen",23,2000
3371,Ginga Eiyuu Densetsu Gaiden,,24,R+ - Mild Nudity,8.17,4324,346,3454,11644,"Action, Military, Sci-Fi, Space",26,1998
3375,Kirepapa.,,2,R+ - Mild Nudity,6.94,22092,,1878,36748,"Comedy, Drama, Romance, Yaoi",29,2008
3381,Fushigi no Umi no Nadia Specials,Nadia: Secret of Blue Water Specials,10,PG-13 - Teens 13 or older,6.62,805,5109,6405,2475,"Adventure, Sci-Fi",4,2003
3389,Bus Gamer,,3,PG-13 - Teens 13 or older,6.62,12905,5101,2511,22317,Action,23,2008
3390,Hoshi no Umi no Amuri,,3,PG-13 - Teens 13 or older,5.86,812,7668,6252,2650,"Sci-Fi, Adventure, Fantasy",30,2008
3391,Maicching Machiko-sensei,Miss Machiko,95,R+ - Mild Nudity,6.51,98,5563,7537,1442,"Comedy, Ecchi, School",25,1981
3394,Kimagure Orange☆Road: Shounen Jump Special,Kimagure Orange Road TV Pilot,1,PG-13 - Teens 13 or older,6.71,1066,4713,6504,2365,"Romance, Drama, Shounen",24,1985
3403,The Guts!,Women at Work,2,Rx - Hentai,6.41,1920,,5444,3783,Hentai,30,2005
3407,Blassreiter,Blassreiter,24,R - 17+ (violence & profanity),7.03,21867,3443,1271,64034,"Action, Sci-Fi",23,2008
3418,Jungle no Ouja Taa-chan,,50,R+ - Mild Nudity,7.27,242,2523,8053,1124,"Action, Comedy, Parody",24,1993
3419,Sumomomo Momomo: Chijou Saikyou no Yome Specials,,2,PG-13 - Teens 13 or older,7.04,4296,3430,3966,8336,"Comedy, Ecchi, Martial Arts, Romance",23,2007
3420,Shigofumi,Shigofumi: Letters from the Departed,12,R - 17+ (violence & profanity),7.57,24003,1442,1271,64077,"Psychological, Supernatural, Drama, Thriller, Fantasy",24,2008
3421,Kodomo no Omocha,,1,PG - Children,7.26,1394,2572,5477,3729,"Comedy, Drama, School, Shoujo",30,1995
3422,Donburi Kazoku,Like Mother Like Daughter,2,Rx - Hentai,5.97,1258,,5894,3089,Hentai,30,2006
3424,Porphy no Nagai Tabi,The Orphans of Simitra,52,PG - Children,7.13,256,3093,7178,1722,"Drama, Historical, Kids, Slice of Life",24,2008
3429,Blame! Special,,1,PG-13 - Teens 13 or older,5.47,2596,8412,4633,5687,"Mecha, Sci-Fi",4,2003
3430,Blame! Prologue,,2,PG-13 - Teens 13 or older,5.65,2919,8095,4320,6727,"Action, Mecha, Sci-Fi",4,2007
3433,Go-Q-Choji Ikkiman,Battle Ball,32,G - All Ages,6.6,116,5198,9901,403,"Sci-Fi, Sports",24,1986
3435,Joou Heika no Petite Angie,Angie Girl,26,PG-13 - Teens 13 or older,6.5,152,5605,9021,667,"Historical, Mystery, Shoujo",24,1977
3444,The☆Ultraman,,50,PG-13 - Teens 13 or older,6.52,252,5531,8130,1080,"Action, Sci-Fi, Space, Super Power",25,1979
3446,Biohazard: Degeneration,,1,R - 17+ (violence & profanity),7.15,16978,2990,2393,24362,"Action, Horror, Sci-Fi",97,2008
3447,Ghost in the Shell: Stand Alone Complex - Solid State Society - Uchikoma no Hibi,Ghost in the Shell: Stand Alone Complex - Solid State Society: Uchikomatic Days,1,PG - Children,7.09,3742,3230,3662,10117,"Comedy, Mecha, Sci-Fi",5,2007
3448,Mad★Bull 34,Mad Bull 34,4,R+ - Mild Nudity,6.35,2097,6194,4835,5115,"Action, Police",45,1990
3449,Kamichu! Specials,The Goddess is a Middle School Student,4,PG - Children,7.57,4471,1428,4042,7973,"Slice of Life, Comedy, Supernatural, Drama",26,2005
3455,To LOVE-Ru,To LOVE Ru,26,R+ - Mild Nudity,7.26,167818,2594,186,321456,"Sci-Fi, Harem, Comedy, Romance, Ecchi, School, Shounen",24,2008
3456,Candy☆Boy: Side Story For Archive,,1,PG-13 - Teens 13 or older,6.97,13750,3663,2460,23321,"Romance, School, Shoujo Ai",13,2007
3457,Vampire Knight,Vampire Knight,13,PG-13 - Teens 13 or older,7.3,210142,2447,154,350090,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",24,2008
3460,Bosco Daibouken,Bosco Adventure,26,PG - Children,7.18,358,2882,8537,871,"Kids, Adventure, Fantasy",25,1986
3464,Kemeko Deluxe!,,12,PG-13 - Teens 13 or older,6.69,13180,4800,2085,30794,"Action, Comedy, Ecchi, Romance, School, Sci-Fi, Shounen",24,2008
3466,Kino no Tabi: The Beautiful World - Tou no Kuni,Kino&#039;s Journey: Tower Country,1,PG-13 - Teens 13 or older,7.67,13521,1170,2320,25644,"Adventure, Fantasy, Psychological",14,2005
3467,Nogizaka Haruka no Himitsu,Haruka Nogizaka&#039;s Secret,12,PG-13 - Teens 13 or older,7.31,50120,2397,907,95014,"Comedy, Romance",25,2008
3468,Maria-sama ga Miteru Specials,Maria Watches Over Us,7,PG - Children,7.51,3510,1615,4290,6885,"Drama, Romance, School, Shoujo, Shoujo Ai, Slice of Life",1,2004
3469,Maria-sama ga Miteru: Haru Specials,Maria Watches Over Us: Printemps,6,PG - Children,7.47,3058,1735,4458,6253,"Slice of Life, Romance, School, Drama, Shoujo, Shoujo Ai",2,2004
3470,Special A,Special A (S.A),24,PG-13 - Teens 13 or older,7.72,113131,1071,339,217312,"Comedy, Romance, School, Shoujo",24,2008
3486,Yuusha Tokkyuu Might Gaine,,47,G - All Ages,7.05,283,3397,7502,1466,"Action, Adventure, Mecha, Sci-Fi",24,1993
3488,Genji Monogatari,,1,R+ - Mild Nudity,6.64,858,5008,5738,3325,"Drama, Historical, Romance",106,1987
3501,Wellber no Monogatari: Sisters of Wellber Zwei,Sisters of Wellber Zwei,13,PG-13 - Teens 13 or older,6.94,1089,3799,5585,3549,"Adventure, Fantasy, Historical, Romance",20,2008
3503,Kanokon,Kanokon: The Girl Who Cried Fox,12,R+ - Mild Nudity,6.65,78225,4972,521,154590,"Comedy, Ecchi, Harem, Romance, School, Shounen, Slice of Life, Supernatural",24,2008
3505,Yuusha Shirei Dagwon,,48,G - All Ages,7.22,204,2755,8196,1033,"Action, Adventure, Martial Arts, Mecha, Super Power, School",24,1996
3508,Genius Party,,7,R+ - Mild Nudity,7.34,8601,2272,2480,22948,"Action, Sci-Fi, Music, Dementia, Psychological, Romance, Fantasy, Mecha",14,2007
3512,Tenshi Nanka ja Nai,,1,PG - Children,6.29,970,6451,6477,2401,"Comedy, Drama, Shoujo",30,1994
3513,Tanjou: Debut,,2,G - All Ages,5.09,177,8948,9504,504,"Slice of Life, Romance, Supernatural",30,1994
3514,Noramimi,,12,G - All Ages,6.46,52,5770,9421,526,Comedy,20,2008
3515,Saint Seiya: Meiou Hades Elysion-hen,Saint Seiya: The Hades Chapter - Elysion,6,PG-13 - Teens 13 or older,7.75,15240,1002,2402,24226,"Action, Fantasy, Shounen, Super Power",25,2008
3522,Choujin Locke,Locke the Superman,1,R+ - Mild Nudity,6.57,573,5317,7156,1738,"Action, Sci-Fi, Super Power",119,1984
3537,Cleavage,Cleavage,2,Rx - Hentai,6.75,3859,,3959,8386,Hentai,27,2006
3538,Dorei Kaigo,Slave Nurses,3,Rx - Hentai,6.24,1012,,6276,2617,Hentai,24,2003
3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),,373,PG-13 - Teens 13 or older,7.79,1975,902,4301,6838,"Slice of Life, Comedy, Police",25,1996
3546,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,1,PG-13 - Teens 13 or older,6.75,94,4533,9609,479,"Comedy, Police",24,1985
3549,Allison to Lillia,Allison & Lillia,26,PG-13 - Teens 13 or older,7.39,11014,2058,2030,32220,"Action, Adventure, Shounen",24,2008
3550,Midori no Makibao,Green Makibao,61,G - All Ages,6.62,269,5123,9004,674,"Sports, Comedy",24,1996
3559,Stringendo: Angel-tachi no Private Lesson,Stringendo,12,Rx - Hentai,7.54,3459,,3669,10092,Hentai,27,2006
3561,Dennou Boukenki Webdiver,Brain Adventure Record Webdiver,52,PG - Children,7.12,475,3115,7842,1243,"Adventure, Mecha, Sci-Fi, Shounen",24,2001
3568,Ganbarist! Shun,,30,PG-13 - Teens 13 or older,7.35,668,2226,6757,2092,"Comedy, Shounen, Sports",26,1996
3570,Yadosagashi,House Hunting,1,G - All Ages,6.62,204,5138,7430,1513,"Adventure, Fantasy, Kids, Slice of Life",12,2006
3571,Mach GoGoGo (1997),Speed Racer X,34,PG - Children,6.39,774,6034,6858,1997,"Adventure, Cars",25,1997
3572,Macross F,Macross Frontier,25,PG-13 - Teens 13 or older,7.98,51693,580,791,109148,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",24,2008
3574,Switch,,2,PG-13 - Teens 13 or older,7.06,8699,3348,2634,20572,"Action, Mystery, Police",30,2008
3576,Kodai Ouja Kyouryuu King,Dinosaur King,49,PG - Children,6.11,3907,7057,4217,7256,"Adventure, Kids, Fantasy",25,2007
3577,Kyouran Kazoku Nikki,,26,PG-13 - Teens 13 or older,7.33,8611,2309,2436,23730,"Comedy, Sci-Fi",24,2008
3579,Getter Robo,Getter Robo,51,PG-13 - Teens 13 or older,6.98,846,3637,5324,3971,"Action, Sci-Fi, Mecha, Shounen",25,1974
3582,Mashou no Kao,The Two Facials of Eve,1,Rx - Hentai,6.19,718,,7126,1763,Hentai,30,2004
3588,Soul Eater,Soul Eater,51,PG-13 - Teens 13 or older,8.03,422552,523,23,791551,"Action, Fantasy, Comedy, Supernatural, Shounen",24,2008
3593,Utawarerumono OVA,Utawarerumono OVA,3,R+ - Mild Nudity,7.28,7138,2509,3001,15706,"Action, Comedy, Fantasy",29,2009
3594,Tears to Tiara,Tears to Tiara,26,PG-13 - Teens 13 or older,7.28,22712,2506,1378,58050,"Action, Adventure, Fantasy, Magic",24,2009
3596,Lightning Trap: Leina & Laika,Lightning Trap: Leina & Laika,1,PG-13 - Teens 13 or older,5.34,228,8627,9488,510,"Action, Sci-Fi",27,1990
3600,Sengoku Kitan Youtouden,Yotoden: Chronicle of the Warlord Period,3,R - 17+ (violence & profanity),6.08,362,7156,7794,1271,"Action, Demons, Martial Arts",42,1987
3602,Ginga Tetsudou 999: Eternal Fantasy,Galaxy Express 999: Eternal Fantasy,1,PG-13 - Teens 13 or older,6.77,924,4444,6420,2463,"Action, Drama, Sci-Fi, Space",54,1998
3603,JoJo no Kimyou na Bouken: Phantom Blood,JoJo&#039;s Bizarre Adventure: Phantom Blood,1,R - 17+ (violence & profanity),7.8,4389,876,3040,15282,"Action, Adventure, Horror, Shounen, Vampire",90,2007
3604,Hidamari Sketch x 365,Hidamari Sketch x 365,13,PG-13 - Teens 13 or older,7.87,11092,755,2533,21970,"Slice of Life, Comedy, School, Seinen",24,2008
3605,Princess Army: Wedding★Combat,Princess Army: Wedding Combat,2,PG-13 - Teens 13 or older,5.38,248,8575,8721,791,"Action, Martial Arts, Romance, Shoujo",26,1992
3613,Toshokan Sensou,Library Wars,12,PG-13 - Teens 13 or older,7.56,18689,1480,1598,47015,"Action, Military, Comedy, Romance",23,2008
3614,Yakushiji Ryouko no Kaiki Jikenbo,Ryoko&#039;s Case File,13,PG-13 - Teens 13 or older,7.16,4430,2986,3328,12796,"Mystery, Police, Supernatural",23,2008
3615,Neo Angelique Abyss,,13,PG-13 - Teens 13 or older,6.97,10981,3688,2219,27701,"Comedy, Fantasy, Harem, Romance, Shoujo",24,2008
3616,Kamen no Maid Guy,,12,R+ - Mild Nudity,7.11,14788,3164,2064,31356,"Action, Comedy, Ecchi, Super Power",25,2008
3625,Battle Royal High School,Battle Royal High School,1,R+ - Mild Nudity,5.7,1645,7988,5293,4046,"Action, Horror, Super Power, Demons, Supernatural, Martial Arts",59,1987
3626,Mobile Suit Gundam Wing: Operation Meteor,Mobile Suit Gundam Wing: Operation Meteor,4,PG-13 - Teens 13 or older,7.61,2868,1332,4049,7941,"Action, Military, Sci-Fi, Adventure, Space, Psychological, Drama, Mecha",60,1996
3627,D.C.II S.S.: Da Capo II Second Season,,13,PG-13 - Teens 13 or older,7.33,10514,2299,2470,23096,"Fantasy, Comedy, Harem, Romance, Drama",24,2008
3630,Miracle Shoujo Limit-chan,,25,G - All Ages,5.91,62,7545,10284,332,"Comedy, Magic, School, Sci-Fi, Shoujo, Super Power",24,1973
3636,Warau Kangofu The Animation,Laughing Nurse,2,Rx - Hentai,6.81,1583,,5402,3842,Hentai,30,2007
3637,Bouken Yuuki Pluster World,Adventure Hero Pluster World,52,G - All Ages,6.17,82,6847,9717,448,"Action, Sci-Fi, Adventure, Shounen",24,2003
3641,Naisho no Tsubomi,Naisho no Tsubomi,3,PG - Children,6.68,2782,4849,4569,5907,"Kids, Romance, School, Shoujo, Slice of Life, Supernatural",28,2008
3642,Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi,,4,R+ - Mild Nudity,6.15,1319,6940,5226,4181,"Harem, Music, Ecchi, Fantasy, Seinen",2,2008
3652,Higurashi no Naku Koro ni Rei,When They Cry: Rei,5,PG-13 - Teens 13 or older,7.53,64808,1554,734,117528,"Mystery, Comedy, Psychological, Supernatural, Thriller",30,2009
3653,Kurogane no Linebarrels,Linebarrels of Iron,24,R - 17+ (violence & profanity),7.04,14440,3413,1966,34071,"Action, Sci-Fi, Mecha",23,2008
3654,Macademi Wasshoi!,,12,R+ - Mild Nudity,7.05,14851,3376,1973,33858,"Comedy, Ecchi, Fantasy, Romance, School, Supernatural",24,2008
3655,Nabari no Ou,Nabari no Ou,26,PG-13 - Teens 13 or older,7.4,50069,2031,681,123763,"Action, Fantasy, Supernatural, Comedy, Drama, Shounen",24,2008
3656,Monochrome Factor,,24,PG-13 - Teens 13 or older,7.1,15507,3213,1709,42779,"Action, Shounen Ai, Supernatural",24,2008
3660,Mahou no Idol Pastel Yumi,Magical Idol Pastel Yumi,25,G - All Ages,6.39,290,6035,7703,1326,"Comedy, Fantasy, Kids, Magic, Shoujo",23,1986
3661,Joker: Marginal City,,1,R - 17+ (violence & profanity),5.53,313,8326,8767,770,"Action, Sci-Fi, Romance",36,1992
3665,Ginga Eiyuu Densetsu Gaiden (1999),,28,R - 17+ (violence & profanity),8.07,3743,461,3620,10381,"Military, Sci-Fi, Space, Drama",26,1999
3667,Strike Witches,Strike Witches,12,R+ - Mild Nudity,7.11,48454,3191,743,115592,"Action, Military, Sci-Fi, Magic, Ecchi",24,2008
3668,Telepathy Shoujo Ran,,26,PG-13 - Teens 13 or older,6.69,1863,4817,4258,7033,"Fantasy, School",24,2008
3670,Kikou Souseiki Mospeada,Genesis Climber Mospeada,25,PG-13 - Teens 13 or older,7.21,2255,2779,4748,5384,"Action, Mecha, Military",23,1983
3672,Tottemo! Luckyman,,50,G - All Ages,6.83,159,4215,9060,655,"Comedy, Super Power, Sci-Fi, Shounen",24,1994
3673,Nijuu Mensou no Musume,The Daughter of 20 Faces,22,PG-13 - Teens 13 or older,7.62,8927,1304,2359,25087,"Action, Adventure, Mystery",22,2008
3674,Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,,1,PG-13 - Teens 13 or older,7.5,5184,1647,3288,13115,"Comedy, Parody, School",61,2008
3675,Andromeda Stories,,1,PG-13 - Teens 13 or older,5.97,318,7401,8226,1027,"Action, Drama, Fantasy, Sci-Fi, Space",85,1982
3676,Machine Robo: Cronos no Dai Gyakushuu,Machine Robo: Revenge of Cronos,47,PG-13 - Teens 13 or older,6.45,154,5799,8546,867,"Action, Sci-Fi, Space, Mecha",24,1986
3681,Tokyo Requiem,Tokyo Requiem,2,Rx - Hentai,5.85,580,,7105,1780,"Demons, Hentai, Supernatural",30,2005
3684,Dimension Loop,,1,PG-13 - Teens 13 or older,5.67,999,8060,6732,2128,Sci-Fi,4,2001
3686,Tokimeki Memorial: Only Love Specials,,2,PG-13 - Teens 13 or older,6.75,1746,4556,5413,3824,"Comedy, School",24,2007
3691,Watashi to Watashi: Futari no Lotte,The Two Lottes,29,G - All Ages,6.93,97,3830,9330,557,"Slice of Life, Kids, Shoujo",24,1991
3692,Yes! Precure 5 GoGo!,,48,G - All Ages,7.27,1673,2544,4921,4868,"Action, Magic, Fantasy, School, Shoujo",24,2008
3701,Kaiba,,12,R+ - Mild Nudity,8.24,23246,278,1072,77549,"Adventure, Mystery, Romance, Sci-Fi",24,2008
3702,Detroit Metal City,Detroit Metal City: The Animated Series,12,R - 17+ (violence & profanity),8.22,73042,290,627,133476,"Music, Comedy",13,2008
3706,Seikoujo: Haitoku no Biden Dorei,Dark Chapel,2,Rx - Hentai,6.02,971,,6433,2451,Hentai,30,2006
3710,Hakaba Kitarou,Graveyard Kitaro,11,PG-13 - Teens 13 or older,6.99,2574,3596,4058,7908,"Horror, Supernatural",25,2008
3712,Zero no Tsukaima: Princesses no Rondo,The Familiar of Zero: Rondo of Princesses,12,PG-13 - Teens 13 or older,7.56,172348,1482,250,272225,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",24,2008
3713,Jigoku Shoujo Mitsuganae,Hell Girl: Three Vessels,26,R - 17+ (violence & profanity),7.75,29087,993,1131,72824,"Mystery, Psychological, Supernatural",24,2008
3727,Doraemon Movie 01: Nobita no Kyouryuu,Doraemon the Movie: Nobita&#039;s Dinosaur,1,PG - Children,7.31,1375,2380,6485,2394,"Adventure, Comedy",92,1980
3731,Itazura na Kiss,ItaKiss,25,PG-13 - Teens 13 or older,7.7,91187,1108,473,170224,"Comedy, Romance, Shoujo",24,2008
3734,Glass no Kamen: Sen no Kamen wo Motsu Shoujo,Glass Mask: The Girl of a Thousand Masks,3,PG-13 - Teens 13 or older,7.14,500,3039,7400,1541,"Drama, Shoujo",45,1998
3735,Ryuuseiki Gakusaver,Shooting Star Gakusaver,6,PG-13 - Teens 13 or older,6.59,190,5263,8937,697,"Action, Sci-Fi, Space, Comedy, Parody, Mecha, School",30,1993
3736,Parappa the Rapper,,30,PG - Children,5.93,414,7500,7225,1694,"Comedy, Fantasy",20,2001
3737,Usavich,Usavich,13,PG-13 - Teens 13 or older,7.09,3103,3247,4793,5250,"Adventure, Comedy",1,2018
3738,Usavich II,Usavich II,13,PG-13 - Teens 13 or older,7.23,2527,2701,5446,3778,"Adventure, Comedy",1,2007
3745,Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,,1,G - All Ages,7.12,1601,3113,6052,2886,"Action, Adventure, Comedy, Seinen",87,1994
3747,Inyouchuu The Animation,,2,Rx - Hentai,6.51,1440,,5194,4268,"Hentai, School, Supernatural",29,2006
3750,Maria-sama ga Miteru 4th,Maria Watches Over Us Season 4,13,PG-13 - Teens 13 or older,7.92,6365,662,3203,13902,"School, Shoujo, Shoujo Ai, Slice of Life",25,2009
3751,Sekai Meisaku Douwa: Mori wa Ikiteiru,,1,PG - Children,7.01,569,3540,7872,1229,"Fantasy, Kids",65,1980
3754,Tongari Boushi no Memole,,50,G - All Ages,7.04,501,3433,7696,1334,"Fantasy, Magic, Shoujo",30,1984
3758,Panda no Daibouken,,1,PG - Children,6.47,143,5727,9997,384,Adventure,53,1973
3760,Grimm Douwa: Kin no Tori,The Golden Bird,1,G - All Ages,6.98,232,3639,8783,762,"Adventure, Fantasy",52,1987
3762,The Borgman: Last Battle,Sonic Soldier Borgman: Last Battle,1,PG-13 - Teens 13 or older,6.11,174,7071,9505,508,"Action, Sci-Fi, Demons",59,1989
3763,Chouon Senshi Borgman: Lovers Rain,Sonic Soldier Borgman: Lovers Rain,1,PG-13 - Teens 13 or older,5.93,172,7491,9381,541,"Action, Sci-Fi, Demons",33,1990
3765,Pygmalio,,39,G - All Ages,6.87,268,4048,8859,726,"Adventure, Fantasy, Shoujo",24,1990
3768,Play Ball,Play Ball,13,G - All Ages,6.16,82,6907,9380,541,"Action, Sports, Shounen",24,2005
3771,"Nee, Chanto Shiyou Yo!",,5,Rx - Hentai,7.12,3039,,4043,7966,Hentai,29,2005
3778,Yuukan Club,,2,PG-13 - Teens 13 or older,6.01,128,7333,9603,480,"Mystery, Comedy, School, Shoujo",35,1991
